vehiclecount,updatetime,id,totalspaces,garagecode,streamdate,streamtime,day
0,09:04.1,1,65,NORREPORT,11/3/2014 0:00,4:18:44,PM
0,09:04.1,2,512,SKOLEBAKKEN,11/3/2014 0:00,12:00:00,AM
869,09:04.1,3,1240,SCANDCENTER,11/3/2014 0:00,4:18:44,PM
22,09:04.1,4,953,BRUUNS,11/3/2014 0:00,4:18:44,PM
124,09:04.1,5,130,BUSGADEHUSET,11/3/2014 0:00,4:18:44,PM
106,09:04.1,6,400,MAGASIN,11/3/2014 0:00,4:18:44,PM
115,09:04.1,7,210,KALKVAERKSVEJ,11/3/2014 0:00,4:18:44,PM
233,09:04.1,8,700,SALLING,11/3/2014 0:00,4:18:44,PM
0,39:01.8,9,65,NORREPORT,11/3/2014 0:00,4:18:44,PM
0,39:01.8,10,512,SKOLEBAKKEN,11/3/2014 0:00,4:18:44,PM
959,39:01.8,11,1240,SCANDCENTER,11/3/2014 0:00,4:18:44,PM
22,39:01.8,12,953,BRUUNS,11/3/2014 0:00,4:18:44,PM
124,39:01.8,13,130,BUSGADEHUSET,11/3/2014 0:00,4:18:44,PM
119,39:01.8,14,400,MAGASIN,11/3/2014 0:00,4:18:44,PM
121,39:01.8,15,210,KALKVAERKSVEJ,11/3/2014 0:00,4:18:44,PM
282,39:01.8,16,700,SALLING,11/3/2014 0:00,4:18:44,PM
0,10:51.5,17,65,NORREPORT,11/3/2014 0:00,4:18:44,PM
0,10:51.5,18,512,SKOLEBAKKEN,11/3/2014 0:00,4:18:44,PM
1014,10:51.5,19,1240,SCANDCENTER,11/3/2014 0:00,4:18:44,PM
22,10:51.5,20,953,BRUUNS,11/3/2014 0:00,4:18:44,PM
125,10:51.5,21,130,BUSGADEHUSET,11/3/2014 0:00,4:18:44,PM
151,10:51.5,22,400,MAGASIN,11/3/2014 0:00,4:18:44,PM
125,10:51.5,23,210,KALKVAERKSVEJ,11/3/2014 0:00,4:18:44,PM
369,10:51.5,24,700,SALLING,11/3/2014 0:00,4:18:44,PM
22,40:24.7,28,953,BRUUNS,11/3/2014 0:00,4:18:44,PM
0,40:24.7,25,65,NORREPORT,11/3/2014 0:00,4:18:44,PM
0,40:24.7,26,512,SKOLEBAKKEN,11/3/2014 0:00,4:18:44,PM
1045,40:24.7,27,1240,SCANDCENTER,11/3/2014 0:00,4:18:44,PM
144,40:24.7,29,130,BUSGADEHUSET,11/3/2014 0:00,4:18:44,PM
187,40:24.7,30,400,MAGASIN,11/3/2014 0:00,4:18:44,PM
129,40:24.7,31,210,KALKVAERKSVEJ,11/3/2014 0:00,4:18:44,PM
447,40:24.7,32,700,SALLING,11/3/2014 0:00,4:18:44,PM
0,01:18.0,33,65,NORREPORT,11/3/2014 0:00,4:18:44,PM
0,01:18.0,34,512,SKOLEBAKKEN,11/3/2014 0:00,4:18:44,PM
413,01:18.0,35,1240,SCANDCENTER,11/3/2014 0:00,4:18:44,PM
22,01:18.0,36,953,BRUUNS,11/3/2014 0:00,4:18:44,PM
165,01:18.0,37,130,BUSGADEHUSET,11/3/2014 0:00,4:18:44,PM
206,01:18.0,38,400,MAGASIN,11/3/2014 0:00,4:18:44,PM
63,01:18.0,39,210,KALKVAERKSVEJ,11/3/2014 0:00,4:18:44,PM
252,01:18.0,40,700,SALLING,11/3/2014 0:00,4:18:44,PM
0,31:22.3,41,65,NORREPORT,11/3/2014 0:00,4:18:44,PM
0,31:22.3,42,512,SKOLEBAKKEN,11/3/2014 0:00,4:18:44,PM
360,31:22.3,43,1240,SCANDCENTER,11/3/2014 0:00,4:18:44,PM
22,31:22.3,44,953,BRUUNS,11/3/2014 0:00,4:18:44,PM
154,31:22.3,45,130,BUSGADEHUSET,11/3/2014 0:00,4:18:44,PM
192,31:22.3,46,400,MAGASIN,11/3/2014 0:00,4:18:44,PM
62,31:22.3,47,210,KALKVAERKSVEJ,11/3/2014 0:00,4:18:44,PM
204,31:22.3,48,700,SALLING,11/3/2014 0:00,4:18:44,PM
0,19:52.1,49,65,NORREPORT,11/3/2014 0:00,4:18:44,PM
0,19:52.1,50,512,SKOLEBAKKEN,11/3/2014 0:00,4:18:44,PM
